ball_receipt.outcome.id,ball_receipt.outcome.name,ball_recovery.recovery_failure,block.deflection,carry.end_location,clearance.aerial_won,counterpress,dribble.nutmeg,dribble.outcome.id,dribble.outcome.name,dribble.overrun,duel.outcome.id,duel.outcome.name,duel.type.id,duel.type.name,duration,foul_committed.card.id,foul_committed.card.name,foul_committed.offensive,foul_won.defensive,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.end_location,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.type.id,goalkeeper.type.name,id,index,interception.outcome.id,interception.outcome.name,location,minute,pass.aerial_won,pass.angle,pass.assisted_shot_id,pass.backheel,pass.body_part.id,pass.body_part.name,pass.cross,pass.cut_back,pass.deflected,pass.end_location,pass.goal_assist,pass.height.id,pass.height.name,pass.length,pass.outcome.id,pass.outcome.name,pass.recipient.id,pass.recipient.name,pass.shot_assist,pass.switch,pass.type.id,pass.type.name,period,play_pattern.id,play_pattern.name,player.id,player.name,position.id,position.name,possession,possession_team.id,possession_team.name,related_events,second,shot.aerial_won,shot.body_part.id,shot.body_part.name,shot.end_location,shot.first_time,shot.freeze_frame,shot.key_pass_id,shot.open_goal,shot.outcome.id,shot.outcome.name,shot.statsbomb_xg,shot.technique.id,shot.technique.name,shot.type.id,shot.type.name,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,tactics.formation,tactics.lineup,team.id,team.name,timestamp,type.id,type.name,under_pressure,50_50.outcome.id,50_50.outcome.name,ball_recovery.offensive,block.offensive,foul_committed.advantage,foul_committed.penalty,foul_committed.type.id,foul_committed.type.name,foul_won.advantage,foul_won.penalty,miscontrol.aerial_won,pass.technique.id,pass.technique.name,pass.through_ball,bad_behaviour.card.id,bad_behaviour.card.name,injury_stoppage.in_chain,pass.miscommunication,shot.one_on_one,shot.deflected,block.save_block,shot.redirect
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ab779212-90a2-4d8f-839f-815e294381dd,2842.0,,,"[6.0, 46.0]",94.0,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,From Free Kick,5223.0,Aziz Bouhaddouz,23.0,Center Forward,173.0,797.0,Iran,,7.0,,,,,,,,,,,,,,,,,,,,,,788.0,Morocco,00:49:07.500,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225f86c0-64dd-4fec-bb5a-e8621fbd20bc,2269.0,,,"[60.0, 33.0]",59.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,3637.0,Grzegorz Krychowiak,9.0,Right Defensive Midfield,112.0,789.0,Poland,,54.0,,,,,,,,,,,,,,,,,,,,,,789.0,Poland,00:14:54.693,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9806f4bb-36e5-46e8-9a4f-0f894e55360c,924.0,,,"[18.0, 38.0]",22.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5580.0,Duško Tošić,5.0,Left Center Back,47.0,773.0,Switzerland,,29.0,,,,,,,,,,,,,,,,,,,,,,786.0,Serbia,00:22:29.533,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,ed337c0f-9251-48a3-83bf-7ed4fe2733b8,3315.0,,,"[5.0, 37.0]",93.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,From Corner,3471.0,Dejan Lovren,5.0,Left Center Back,170.0,793.0,Iceland,,39.0,,,,,,,,,,,,,,,,,,,,,,785.0,Croatia,00:48:39.520,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,43892c2c-7042-4642-8ffd-e291cd2d461c,2172.0,,,"[6.0, 36.0]",68.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,3099.0,Hugo Lloris,1.0,Goalkeeper,136.0,785.0,Croatia,,8.0,,,,,,,,,,,,,,,,,,,,,,771.0,France,00:23:08.400,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf78ac1b-faf9-4b21-bd6c-78aa4048f883,1491.0,,,"[7.0, 45.0]",38.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5612.0,Mikael Lustig,2.0,Right Back,61.0,770.0,Germany,,49.0,,,,,,,,,,,,,,,,,,,,,,790.0,Sweden,00:38:49.620,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0afe12b0-edc7-4a2d-8813-56330a07f0eb,3532.0,,,"[7.0, 46.0]",91.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,From Corner,5574.0,Toni Kroos,15.0,Left Center Midfield,174.0,791.0,South Korea,,8.0,,,,,,,,,,,,,,,,,,,,,,770.0,Germany,00:46:08.933,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d9dcc711-3ec9-4d87-bbcd-5ed745609df4,3612.0,,,"[14.0, 47.0]",95.0,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,From Free Kick,5608.0,Yong Lee,2.0,Right Back,180.0,770.0,Germany,,34.0,,,,,,,,,,,,,,,,,,,,,,791.0,South Korea,00:50:34.415,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35974006-2490-4088-abaf-ac964aca353b,3692.0,,,"[4.0, 33.0]",98.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,From Corner,5618.0,Woo-Young Jung,15.0,Left Center Midfield,185.0,770.0,Germany,,32.0,,,,,,,,,,,,,,,,,,,,,,791.0,South Korea,00:53:32.213,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791d4284-9ef7-481a-807e-1f9342914292,946.0,,,"[7.0, 41.0]",22.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,From Corner,5714.0,Mohammed Khalil Al Owais,1.0,Goalkeeper,42.0,783.0,Uruguay,,12.0,,,,,,,,,,,,,,,,,,,,,,799.0,Saudi Arabia,00:22:12.461,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d83a665f-6bc3-439d-acb3-b693295b0a09,152.0,,,"[28.0, 31.0]",2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,3494.0,Davinson Sánchez Mina,3.0,Right Center Back,8.0,769.0,Colombia,,43.0,,,,,,,,,,,,,,,,,,,,,,769.0,Colombia,00:02:43.347,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9f10a876-a55f-46cc-a74a-9e506bde2940,99.0,,,"[6.0, 38.0]",1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5547.0,Alisson Ramsés Becker,1.0,Goalkeeper,5.0,794.0,Mexico,,41.0,,,,,,,,,,,,,,,,,,,,,,781.0,Brazil,00:01:41.320,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,20ecd95d-201e-462b-82d3-8b5dec9a09a9,3036.0,,,"[10.0, 44.0]",86.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,From Corner,3295.0,Thiago Emiliano da Silva,3.0,Right Center Back,159.0,794.0,Mexico,,5.0,,,,,,,,,,,,,,,,,,,,,,781.0,Brazil,00:41:05.880,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79b0a05e-9df4-49c5-ada2-544b0206ac76,2357.0,,,"[6.0, 40.0]",57.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,From Corner,3637.0,Grzegorz Krychowiak,9.0,Right Defensive Midfield,122.0,778.0,Japan,,27.0,,,,,,,,,,,,,,,,,,,,,,789.0,Poland,00:12:27.200,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,e1946684-2b0a-46da-af3f-ff2b97b538e2,3107.0,,,"[7.0, 33.0]",80.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,From Throw In,6338.0,Tomoaki Makino,5.0,Left Center Back,157.0,789.0,Poland,,51.0,,,,,,,,,,,,,,,,,,,,,,778.0,Japan,00:35:51.240,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8cf95c77-6c00-4ae9-8316-9e09bf891182,1526.0,,,"[5.0, 45.0]",40.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,From Free Kick,5478.0,Trent Sainsbury,3.0,Right Center Back,62.0,776.0,Denmark,,54.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:40:54.360,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,b325a959-2261-4f38-93a1-b5e1daf345c8,499.0,,,"[3.0, 42.0]",11.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,From Free Kick,5174.0,Sergei Ignashevich,4.0,Center Back,23.0,772.0,Spain,,0.0,,,,,,,,,,,,,,,,,,,,,,796.0,Russia,00:11:00.640,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
